SYMBOL,DATE1,LAST_PRICE
FINOPB,26-Oct-2023,288.50
FINPIPE,26-Oct-2023,192.90
FIVESTAR,26-Oct-2023,712.00
FLUOROCHEM,26-Oct-2023,2761.00
FMGOETZE,26-Oct-2023,337.00
FOCUS,26-Oct-2023,160.00
FOODSIN,26-Oct-2023,179.70
FORTIS,26-Oct-2023,318.90
FOSECOIND,26-Oct-2023,3216.00
FSL,26-Oct-2023,152.65
FUSION,26-Oct-2023,567.00
GABRIEL,26-Oct-2023,323.00
GAEL,26-Oct-2023,332.00
GAIL,26-Oct-2023,119.20
GALAXYSURF,26-Oct-2023,2580.00
GALLANTT,26-Oct-2023,83.00
GANDHITUBE,26-Oct-2023,681.10
GANECOS,26-Oct-2023,920.00
GANESHBE,26-Oct-2023,137.00
GANESHHOUC,26-Oct-2023,380.65
GANGESSECU,26-Oct-2023,110.95
GARFIBRES,26-Oct-2023,3105.00
GATEWAY,26-Oct-2023,89.00
GATI,26-Oct-2023,141.90
GEECEE,26-Oct-2023,187.50
GENCON,26-Oct-2023,54.90
GENESYS,26-Oct-2023,316.00
GENSOL,26-Oct-2023,864.80
GENUSPAPER,26-Oct-2023,18.50
GENUSPOWER,26-Oct-2023,254.50
GEOJITFSL,26-Oct-2023,53.90
GEPIL,26-Oct-2023,169.50
GESHIP,26-Oct-2023,795.90
GFLLIMITED,26-Oct-2023,93.80
GHCL,26-Oct-2023,575.05
GHCLTEXTIL,26-Oct-2023,72.80
GICHSGFIN,26-Oct-2023,190.95
GICRE,26-Oct-2023,217.75
GILLETTE,26-Oct-2023,6138.95
GILT5YBEES,26-Oct-2023,53.08
GIPCL,26-Oct-2023,151.80
GKWLIMITED,26-Oct-2023,1531.00
GLAND,26-Oct-2023,1535.05
GLAXO,26-Oct-2023,1449.55
GLENMARK,26-Oct-2023,747.35
GLFL,26-Oct-2023,4.25
GLOBAL,26-Oct-2023,183.00
GLOBALVECT,26-Oct-2023,85.90
GLOBUSSPR,26-Oct-2023,795.00
GLS,26-Oct-2023,618.90
GMBREW,26-Oct-2023,630.00
GMDCLTD,26-Oct-2023,362.60
GMMPFAUDLR,26-Oct-2023,1650.00
GMRINFRA,26-Oct-2023,54.00
GMRP&UI,26-Oct-2023,30.70
GNA,26-Oct-2023,430.75
GNFC,26-Oct-2023,649.70
GOACARBON,26-Oct-2023,499.90
GOCLCORP,26-Oct-2023,594.50
GOCOLORS,26-Oct-2023,1264.45
GODFRYPHLP,26-Oct-2023,2108.05
GODREJAGRO,26-Oct-2023,462.60
GODREJCP,26-Oct-2023,962.45
GODREJIND,26-Oct-2023,618.05
GODREJPROP,26-Oct-2023,1579.60
GOKEX,26-Oct-2023,827.85
GOKUL,26-Oct-2023,38.35
GOKULAGRO,26-Oct-2023,109.00
GOLDBEES,26-Oct-2023,51.84
GOLDETF,26-Oct-2023,61.80
GOLDIAM,26-Oct-2023,127.40
GOLDSHARE,26-Oct-2023,51.90
GOODLUCK,26-Oct-2023,772.00
GPIL,26-Oct-2023,601.00
GPPL,26-Oct-2023,121.40
GRANULES,26-Oct-2023,323.95
GRAPHITE,26-Oct-2023,458.20
GRASIM,26-Oct-2023,1853.50
GRAVITA,26-Oct-2023,950.00
GREAVESCOT,26-Oct-2023,125.50
GREENLAM,26-Oct-2023,414.05
GREENPANEL,26-Oct-2023,347.05
GREENPLY,26-Oct-2023,158.25
GRINDWELL,26-Oct-2023,1995.00
GRINFRA,26-Oct-2023,1120.00
GRMOVER,26-Oct-2023,188.05
GROBTEA,26-Oct-2023,860.00
GRPLTD,26-Oct-2023,3800.00
GRSE,26-Oct-2023,749.15
